fm_id,fm_name
20968,Backcast Partners
20310,Concord Health Partners
20755,Tech Pioneers Fund
11017,Ballast Point Ventures
17560,Dundee Venture Capital
17606,Breakout Labs
17758,Madison Capital Funding
17879,Teamworthy Venture
14605,Napier Park Global Capital
3858,Mass General Brigham
21839,Kicker Venture
17492,Orion Energy Partners
14534,Amplify.LA
8953,Metropolitan Partners Group
18423,Meridian Street Capital
19463,Dock Square Capital
21857,Cimarron Healthcare Capital
21858,Noemis Ventures
21859,Claymore Capital Partners
20833,Bracket Capital
17957,SWAT Equity Partners
11,Eurazeo
21860,Assured Healthcare Partners
21862,Mistral Venture Partners
15774,Flashpoint
21866,"MacKinnon, Bennett & Company Inc."
12606,Klass Capital
20068,LAGO Innovation Fund
21101,Patient Square Capital
18084,Moonrise Capital
18753,First Eagle Alternative Credit
16356,McNally Capital
18761,Brighteye Ventures
10139,Cue Ball
19453,Firebolt Ventures
14601,Digital Sky Technologies (DST)
8500,The Sterling Group
13068,Lightstone Ventures
9082,Primary Venture Partners
15764,SineWave Ventures
7236,FFL Partners
21889,Regeneration.VC
21893,Ospraie Management
14068,Salem Investment Partners
18612,Science Inc
18438,Seyen Capital
21898,Bramalea Partners
1277,Bregal Investments
21905,ArrowMark Partners
6477,EQT
5592,"Welsh, Carson, Anderson & Stowe"
21602,SIP Global Partners
7597,Insight Partners
21915,15th Rock Ventures
21916,Red Lane Group
13634,GreenSoil Investments
21919,Avance Investment Management
18123,Camber Creek
21924,GLy Capital Management
21928,GLIN Impact Capital
7604,Kayne Anderson Capital Advisors
21412,Alpha Leonis Partners
6573,LGT Capital Partners
6576,Lightspeed Venture Partners
19339,Cresta Fund Management
21941,3B Future Health
3641,Partners Capital
20171,Soleus Capital
18020,Anzu Partners
21947,Balance Legal Capital
12749,Fulcrum Capital Partners
2248,Aon Pension Fund
14767,Anterra Capital
15833,Spring Mountain Capital
17015,Energy Impact Partners
7190,Thompson Street Capital Partners
8011,Topspin Consumer Partners
19228,Stray Dog Capital
18305,XYZ Ventures
15762,Obvious Ventures
13033,YJ Capital
6780,EV Private Equity
12300,Access Venture Partners
