fm_fund_history_id ,fm_id,fund_id,vintage_year,region,sector,strategy,fund_size_amt,fund_currency,target_fund_size_amt,target_fund_size_currency
28417,6635,37541,2010,Western Europe,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
14317,6635,37542,2014,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,400100000.0,USD,400100000.0,USD
7421,6635,37542,2014,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,400100000.0,USD,400100000.0,USD
29351,6635,37542,2014,Latin America,Diversified,Fund of Funds / Co-Investment,400100000.0,USD,400100000.0,USD
22364,6635,37542,2014,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,400100000.0,USD,400100000.0,USD
1004,6635,37542,2014,North America,Diversified,Fund of Funds / Co-Investment,400100000.0,USD,400100000.0,USD
12460,6635,37542,2014,Western Europe,Diversified,Fund of Funds / Co-Investment,400100000.0,USD,400100000.0,USD
14024,6635,37543,2015,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
2820,6635,37543,2015,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
1051,6635,37543,2015,Latin America,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
16595,6635,37543,2015,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
6555,6635,37543,2015,North America,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
28774,6635,37543,2015,Western Europe,Diversified,Fund of Funds / Co-Investment,302300000.0,USD,0.0,USD
21699,6635,37532,2006,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,351580000.0,USD,0.0,USD
30152,6635,37532,2006,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,351580000.0,USD,0.0,USD
24078,6635,37532,2006,Latin America,Diversified,Fund of Funds / Co-Investment,351580000.0,USD,0.0,USD
9901,6635,37532,2006,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,351580000.0,USD,0.0,USD
5542,6635,37532,2006,North America,Diversified,Fund of Funds / Co-Investment,351580000.0,USD,0.0,USD
22903,6635,37532,2006,Western Europe,Diversified,Fund of Funds / Co-Investment,351580000.0,USD,0.0,USD
16580,6635,37533,2006,Asia-Pacific,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
17499,6635,37533,2006,Central/Eastern Europe,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
9245,6635,37533,2006,Latin America,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
22131,6635,37533,2006,Middle East/Africa,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
22578,6635,37533,2006,North America,Diversified,Fund of Funds / Co-Investment,100900000.0,USD,0.0,USD
