lp_id,lp_name,cmmt_in_vc_funds,total_cmmt_in_vc_funds,limited_partner_type,AUM,affliated_funds_num,affliated_investors_num,commitments,total_cmmt,hq_location,hq_region
298,Indiana Public Retirement System,,37.0,Public Pension Fund,"30,657.83",3.0,2.0,3.0,416,"Indianapolis, IN",Indiana
299,Invest Georgia,3.0,3.0,Fund of funds,,3.0,3.0,3.0,3,"Atlanta, GA",Georgia
300,Iowa Public Employees' Retirement System,2.0,76.0,Public Pension Fund,"43,000.00",3.0,3.0,3.0,278,"Des Moines, IA",Iowa
301,Iowa West Foundation,,1.0,Foundation,363.3,3.0,1.0,3.0,20,"Council Bluffs, IA",Iowa
302,Jackson National Life Insurance Company (NYS: JXN),,2.0,Insurance Company,"316,000.00",3.0,1.0,3.0,198,"Lansing, Ml",Michigan
303,Kapor Capital,3.0,3.0,Direct Investment,,3.0,3.0,3.0,3,"Oakland, CA",California
304,Kentucky Public Pensions Authority,,14.0,Public Pension Fund,"14,846.14",3.0,3.0,3.0,127,"Frankfort, KY",Kentucky
305,L3Harris Pension Master Trust,,7.0,Corporate Pension,"8,358.52",3.0,2.0,3.0,84,"Melbourne, FL",Florida
306,Lancashire County Council Pension Fund,2.0,29.0,Public Pension Fund,"9,783.80",3.0,2.0,3.0,214,"Preston, United Kingdom",UnitedKingdom
307,Libra Foundation,,3.0,Foundation,64.46,3.0,2.0,3.0,15,"Portland, ME",Maine
308,Los Angeles City Employees' Retirement System,3.0,63.0,Public Pension Fund,"24,125.00",3.0,3.0,3.0,434,"Los Angeles, CA",California
309,Malaysia Venture Capital Management,3.0,6.0,Direct Investment,642.4,3.0,2.0,3.0,6,"Kuala Lumpur, Malaysia",Malaysia
310,Masco Corporation Retirement Master Trust,1.0,4.0,Corporate Pension,367.49,3.0,2.0,3.0,29,"Livonia, Ml",Michigan
311,McCune Charitable Foundation,3.0,6.0,Foundation,88.74,3.0,3.0,3.0,34,"Santa Fe, NM",NewMexico
312,Merrion Family Trust,3.0,3.0,Other Limited Partner,,3.0,1.0,3.0,3,"San Rafael, CA",California
313,Meyer Memorial Trust,3.0,34.0,Foundation,713.17,3.0,2.0,3.0,85,"Portland, OR",Oregon
314,MIT Investment Management Company,3.0,33.0,Corporation,"25,000.00",3.0,1.0,3.0,55,"Cambridge, MA",Massachusetts
315,Molten Ventures (LON: GROW),3.0,21.0,Direct Investment,"1,774.12",3.0,3.0,3.0,21,"London, United Kingdom",UnitedKingdom
316,Montana Board of Investments,4.0,45.0,Public Pension Fund,"14,700.00",3.0,1.0,4.0,337,"Helena, MT",Montana
317,Montgomery County (MD) Employees' Retirement System,,14.0,Public Pension Fund,"5,285.20",3.0,2.0,3.0,144,"Rockville, MD",Maryland
