investor_id,investor_name
684,Root Ventures
685,Rosemoor Capital
686,RVX Asset Management
687,Rx3 Growth Partners
688,SaaS Ventures
689,Sancta Capital
690,Sandalphon Capital
691,Sandpiper Asset Management
692,Satwik Ventures
693,Savannah College of Art and Design
694,Savano Capital Partners
695,Scale Asia Ventures
696,Scale-Up Venture Capital
697,Scaleworks
698,Schultze Asset Management
699,Science
700,SeaChange Fund
701,Search Fund Partners
702,Seed Milestone Fund
703,Seedlnvest
704,SEMCAP
705,SeventySix Capital
706,Shaker Investments
707,ShangPharma Innovation
708,ShariaPortfolio
709,Sheffield Asset Management
710,Sigma Prime Ventures
711,Signia Venture Partners
712,Silver 8 Capital
713,SixThirty Ventures
714,Sixty8 Capital
715,SK Ventures
716,Sky Leasing
717,Sleeping Giant Capital
718,SLM Partners
719,SML Capital (New York)
720,SMP Asset Management
721,Snowpoint Ventures
722,SoGal Ventures
723,Solas BioVentures
724,Sound Media Ventures
725,Source Capital
726,Southern Equity
727,Space Capital
728,SpaceFund
729,SparkLabs Group
730,Spider Capital
731,Spiral Sun Ventures
732,Spring Bridge Partners
733,Squadra Ventures
734,Stallion Capital Management
735,Starlight Ventures
736,Start Co.
737,Starta Ventures
738,StarVest Partners
739,State Farm Ventures
740,Stillwater Asset Management
741,Stone Mountain Venture
742,Stonepine Capital Management
743,Strandview
744,Stray Dog Capital
745,Streamlined Ventures
746,SunBridge Partners
747,Supermoon Capital
748,Sutra Ventures
749,Switch Ventures
750,T. Rose & Associates
751,Tamarind Hill
752,TampaBay.Venrures
753,Tau Ventures
754,Taylor Derrick Capital
755,TCP Venture Capital
756,TDFVentures
757,Team8
758,Teamwonhy Ventures
759,TechFarms Capital
760,Telescope Partners
761,Tenacity Venture Capital
762,Tenere Capital
763,TenOneTen Ventures
764,Texas Halo Fund
765,The Argentum Group
766,The Builders Fund
767,The Executive Forum
768,The Hina Group
769,The Hive
770,The Impact Investors
771,The Pearl Fund limited Partnership
772,The Venture Reality Fund
773,Think+
774,Thurston Group
775,Tianyou Asset Management
776,Tidal Ventures (Australia)
777,Top Harvest Capital
778,Topmark Partners
779,Travel Capitalist Ventures
780,Triarii Capital
781,Trident
782,Trueks Venture Capital
783,True Wealth Ventures
784,TSVC
785,Tullis Health Investors
786,Turner Impact Capital
787,Two Lanterns Venture Partners
788,Type One Ventures
789,UCeed
790,Ultra Capital
791,UnionRock Partners
792,Unovis Asset Management
793,Upshot Capital Advisors
794,Urban Capital Network
795,Urban Innovation Fund
796,Urbana Varro
797,V1.vc
798,Vectr Fintech Partners
799,Velvet Sea Ventures
800,Venture Capital fund of America
801,Verge Fund
802,Village Capital
803,Vine Capital Management
804,Vistara Growth
805,Vocap Investment Partners
806,Vodia Capital
807,Volery Capital Partners
808,VTC Ventures
809,W Investments Group
810,Warren Financial Services
811,Warwick Investment Management
812,Watts Gwilliam & Company
813,Wave Capital
814,Waverley Capital
815,WestWave Capital
816,Whiteboard Venture Partners
817,Will Ventures
818,Wireframe Ventures
819,Working Capital
820,Yash Ventures
821,Yes VC
822,York Asset Management
823,Zane Venture Fund
824,Ziegler (PINX: ZGCO)
825,11 Tribes Ventures
826,11.2 Capital
827,1517 Fund
828,180 Degree Capital (NAS: TURN)
829,1843 Capital
830,1955 Capital
831,1st Course Capital
832,1to1 Venture Partners
833,1Up Ventures
834,2.0 Ventures
835,341 Ventures
836,3M Foundation
837,3pm Ventures
838,3rd Creek
839,3x5 Partners
840,424 Capital
841,4490 Ventures
842,49th State Angel Fund
843,645 Ventures
844,7 Gate Ventures
845,76 Forward
846,8808 Ventures
847,9Mile Labs
848,A.James & Alice 8. Clark Foundation
849,A.Capital Ventures
850,AAF Management
851,AAVIN Private Equity
852,ABB Technology Ventures
853,Abernathey Holding Co
854,Abernathy Group II Family Office
855,Abies Ventures
856,Acadian Ventures
857,Accelerate Fund
858,Accelerated Digital Ventures
859,Accelerated Ventures
860,Accelerator Venture Capital Management
861,Access Global Investments
862,Accretive Capital Partners
863,Acento Real Estate Partners
864,Acero Capital
865,ACET
866,Achieve Partners
867,Acorn Campus Ventures
868,Acorn Ventures
869,ACP Investment Group
870,AcreVenture Partners
871,ACRES Capital
872,Act One Ventures
873,ActivateNM
874,Active Impact Investments
875,Acumen Fund
876,Adi Family Office
877,Aditum Bio
878,Adobe Capital
879,Adrenaline Venture Fund
880,Advance Wave Partners
881,Advancit Capital
882,Advect Group
883,Advent-Morro Equity Partners
884,Aegis Digital Health
885,Aeon Family of Funds
886,AF Ventures
887,AFLG Investments
888,Aga Khan Foundation
889,AgeChem Financial
890,AGO Partners
891,AgTech Accelerator
892,AgTech Innovation Partners
893,Al Fund
894,AIC Ventures
895,AIG Property Casualty Company
896,Aimia (TSE: AIM)
897,"Ainge, Broadbent & Callister"
898,AIP Private Capital
899,Airbus Ventures
900,Airlie Group
901,AIRX Innovation
902,AiSprouts
903,Akridge
904,Akron Biolnvestments Fund
905,Aksarben Innovation Initiative
906,Akula Energy Ventures
907,Alabama Futures Fund
908,Alafi Capital Company
909,Alante Capital
910,Alaya Capital Partners
911,Albany International Pension Plus Plan
912,Akatel Ventures
913,Alchemist Accelerator
914,Alchemus Capital
915,Alchemy Ventures
916,Alcova Capital
917,Afemis Ventures
918,Alerion Partners
919,Alexa Accelerator
920,Alexandria Launchlabs
921,Alfa Insurance Company
