fm_name,fm_id
Salesforce Ventures,16021
Salesforce Ventures,16021
Salesforce Ventures,16021
Salesforce Ventures,16021
Salesforce Ventures,16021
Salesforce Ventures,16021
Essling Capital,18378
Essling Capital,18378
Essling Capital,18378
Pin Oak Investment Advisors,20301
Bessemer Venture Partners,1079
Main Post Advisors,20001
The Strategic Group,20305
The Strategic Group,20305
The Strategic Group,20305
HPS Investment Partners,7143
SCS Financial Services,9785
Investcorp,7735
Plus Capital,13724
CarVal Investors,8396
RedBird Capital Partners,16182
Kairos Ventures,18382
Kairos Ventures,18382
CincyTech,8670
CincyTech,8670
CincyTech,8670
Glean Capital,18250
Fireman Capital Partners,13078
WestRiver Group,19242
WestRiver Group,19242
WestRiver Group,19242
WestRiver Group,19242
WestRiver Group,19242
WestRiver Group,19242
WestRiver Group,19242
WestRiver Group,19242
WestRiver Group,19242
CityRock Venture Partners,20330
PineBridge Investments,5576
Partners Group,5595
Partners Group,5595
Partners Group,5595
Anchorage Capital Group,11029
Anchorage Capital Group,11029
Anchorage Capital Group,11029
Anchorage Capital Group,11029
Anchorage Capital Group,11029
Anchorage Capital Group,11029
RCP Advisors,1780
Elephant,16906
Spire Capital Partners,7103
Spire Capital Partners,7103
Operate,20354
PA Capital,7085
Neuberger Berman Private Markets,1801
Brewer Lane Ventures,20363
Brewer Lane Ventures,20363
HGGC,8612
Avista Capital Partners,7867
Sixth Street,19637
Kickstart Seed Fund,12622
Blackstone,5611
GoldPoint Partners,1762
Highland Capital Partners,6534
Crayhill Capital Management,18724
Green Bay Ventures,18218
PivotNorth Capital,14522
PivotNorth Capital,14522
Sterling Investment Partners,10795
Parthenon Capital Partners,6634
Cerberus Capital Management,5613
Twin Brook Capital Partners,16640
C5 Capital,15994
C5 Capital,15994
C5 Capital,15994
Hyperplane Venture Capital,18017
The Carlyle Group,5579
Collaborative Fund,13758
Operate,20354
Quilvest,5348
Neuberger Berman Private Markets,1801
Neuberger Berman Private Markets,1801
Neuberger Berman Private Markets,1801
Neuberger Berman Private Markets,1801
Neuberger Berman Private Markets,1801
Learn Capital,12272
Idealab NY,20427
Monogram Capital Partners,18588
Monogram Capital Partners,18588
Stripes,11805
Stripes,11805
CAIS Group,19442
Mountain Capital Management,18061
Karmel Capital,20436
Goldman Sachs Asset Management,954
TT Capital Partners,13421
TT Capital Partners,13421
Providence Equity Partners,6650
MGG Investment Group,17630
Royalty Lending Financial Services,20438
3Spoke,20205
Full In Partners,20441
TriplePoint Capital,12208
TriplePoint Capital,12208
TriplePoint Capital,12208
TriplePoint Capital,12208
TriplePoint Capital,12208
TriplePoint Capital,12208
TriplePoint Capital,12208
TriplePoint Capital,12208
TriplePoint Capital,12208
Jefferies Private Capital Group,976
50 South Capital,16825
50 South Capital,16825
Morgan Stanley Capital Partners,7079
Three Valley Copper,12556
Three Valley Copper,12556
Alpha Edison,19681
Wazee Street Capital Management,13465
Cerberus Capital Management,5613
Palm Beach Capital,8163
Goldman Sachs Asset Management,954
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
Apollo Global Management,8096
BMO Global Asset Management,1952
BMO Global Asset Management,1952
Goodyear Ventures,20457
Goodyear Ventures,20457
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Mantra Capital,20458
Liquid 2 Ventures,17700
abrdn,4297
Stone Ridge Asset Management,20152
Fathom Capital,20465
Granville Capital,20471
NextGen Venture Partners,17811
Portfolio Advisors,1013
CIFC,16813
Mirabaud Asset Management,18559
Mirabaud Asset Management,18559
Mirabaud Asset Management,18559
iCapital Network,20104
Blackstone,5611
GEC,11028
GEC,11028
GEC,11028
GEC,11028
Frontier Growth,16269
Frontier Growth,16269
415 CAPITAL,20482
415 CAPITAL,20482
415 CAPITAL,20482
