fm_strategy_id,fm_id,regions,strategy
441,7735,Asia-Pacific,Buyout / Corporate Private Equity
935,7735,North America,Other
1976,7735,North America,Venture Capital / Growth Equity
1743,5576,North America,Buyout / Corporate Private Equity
747,5576,Asia-Pacific,Buyout / Corporate Private Equity
1529,5576,Central/Eastern Europe,Buyout / Corporate Private Equity
2145,5576,Latin America,Buyout / Corporate Private Equity
881,5576,Middle East/Africa,Buyout / Corporate Private Equity
1957,5576,Western Europe,Buyout / Corporate Private Equity
239,5576,North America,Venture Capital / Growth Equity
43,5576,Asia-Pacific,Venture Capital / Growth Equity
810,5576,Central/Eastern Europe,Venture Capital / Growth Equity
2112,5576,Latin America,Venture Capital / Growth Equity
2048,5576,Middle East/Africa,Venture Capital / Growth Equity
1363,5576,Western Europe,Venture Capital / Growth Equity
931,1762,North America,Buyout / Corporate Private Equity
104,1762,Asia-Pacific,Buyout / Corporate Private Equity
913,1762,Central/Eastern Europe,Buyout / Corporate Private Equity
995,1762,Latin America,Buyout / Corporate Private Equity
1773,1762,Middle East/Africa,Buyout / Corporate Private Equity
1161,1762,Western Europe,Buyout / Corporate Private Equity
1191,1762,North America,Fund of Funds / Co-Investment
2046,1762,Asia-Pacific,Fund of Funds / Co-Investment
179,1762,Central/Eastern Europe,Fund of Funds / Co-Investment
125,1762,Latin America,Fund of Funds / Co-Investment
1996,1762,Middle East/Africa,Fund of Funds / Co-Investment
1386,1762,Western Europe,Fund of Funds / Co-Investment
2149,1762,North America,Mezzanine / Debt
1784,1762,Asia-Pacific,Mezzanine / Debt
1142,1762,Central/Eastern Europe,Mezzanine / Debt
1870,1762,Latin America,Mezzanine / Debt
965,1762,Middle East/Africa,Mezzanine / Debt
715,1762,Western Europe,Mezzanine / Debt
2109,1762,North America,Venture Capital / Growth Equity
2089,1762,Asia-Pacific,Venture Capital / Growth Equity
2015,1762,Central/Eastern Europe,Venture Capital / Growth Equity
1784,1762,Latin America,Venture Capital / Growth Equity
2081,1762,Middle East/Africa,Venture Capital / Growth Equity
34,1762,Western Europe,Venture Capital / Growth Equity
1253,16825,North America,Venture Capital / Growth Equity
562,7079,Western Europe,Buyout / Corporate Private Equity
1492,1952,North America,Buyout / Corporate Private Equity
1493,1952,Asia-Pacific,Buyout / Corporate Private Equity
101,1952,Central/Eastern Europe,Buyout / Corporate Private Equity
1034,1952,Latin America,Buyout / Corporate Private Equity
1798,1952,Middle East/Africa,Buyout / Corporate Private Equity
1600,1952,Western Europe,Buyout / Corporate Private Equity
420,1952,North America,Fund of Funds / Co-Investment
16,1952,Asia-Pacific,Fund of Funds / Co-Investment
2083,1952,Central/Eastern Europe,Fund of Funds / Co-Investment
1691,1952,Latin America,Fund of Funds / Co-Investment
88,1952,Middle East/Africa,Fund of Funds / Co-Investment
2112,1952,Western Europe,Fund of Funds / Co-Investment
1894,1952,North America,Mezzanine / Debt
1845,1952,Asia-Pacific,Mezzanine / Debt
421,1952,Central/Eastern Europe,Mezzanine / Debt
922,1952,Latin America,Mezzanine / Debt
1403,1952,Middle East/Africa,Mezzanine / Debt
1683,1952,Western Europe,Mezzanine / Debt
1952,1952,North America,Other
1747,1952,Asia-Pacific,Other
1033,1952,Central/Eastern Europe,Other
