lp_sector_id,lp_id,sector,has_appetite
12917,32,Natural Resources,False
33083,32,Other,True
19518,32,Retail,True
21950,32,TMT,True
55479,32,Transport,True
16857,33,Biotech / Life Science,True
60753,33,Clean Tech / Renewable,True
46052,33,Consumer Goods,True
62336,33,Diversified,True
42867,33,Energy / Oil & Gas,True
35354,33,Financial Services,True
20682,33,Healthcare,True
17523,33,Industrials,True
45116,33,Leisure,True
10784,33,Manufacturing,True
56639,33,Natural Resources,False
48740,33,Other,False
31407,33,Retail,True
49798,33,TMT,True
33904,33,Transport,True
60621,34,Biotech / Life Science,True
51852,34,Clean Tech / Renewable,False
56132,34,Consumer Goods,True
20252,34,Diversified,True
20637,34,Energy / Oil & Gas,True
63540,34,Financial Services,False
20241,34,Healthcare,False
9698,34,Industrials,False
42350,34,Leisure,False
44026,34,Manufacturing,True
30682,34,Natural Resources,False
33073,34,Other,True
28158,34,Retail,False
34912,34,TMT,True
17705,34,Transport,True
47864,35,Biotech / Life Science,True
41671,35,Clean Tech / Renewable,True
21735,35,Consumer Goods,True
42693,35,Diversified,True
52773,35,Energy / Oil & Gas,True
55241,35,Financial Services,False
33707,35,Healthcare,True
26352,35,Industrials,True
49724,35,Leisure,False
29823,35,Manufacturing,False
3873,35,Natural Resources,False
4629,35,Other,False
43001,35,Retail,False
29329,35,TMT,True
44463,35,Transport,False
49034,37,Agribusiness,False
1575,37,Biotech / Life Science,False
62266,37,Business Services,False
15193,37,Clean Tech / Renewable,False
31473,37,Consumer Goods,True
15673,37,Diversified,True
26259,37,Energy / Oil & Gas,False
60888,37,Financial Services,False
12010,37,Healthcare,True
15473,37,Industrials,False
42395,37,Leisure,False
3984,37,Manufacturing,False
43248,37,Natural Resources,False
12958,37,Other,False
2348,37,Retail,False
42489,37,TMT,True
13617,37,Transport,False
15005,38,Biotech / Life Science,True
14195,38,Clean Tech / Renewable,True
8590,38,Consumer Goods,True
43438,38,Diversified,True
58692,38,Energy / Oil & Gas,True
61591,38,Financial Services,True
48463,38,Healthcare,True
20147,38,Industrials,True
23975,38,Leisure,False
50262,38,Manufacturing,True
26691,38,Natural Resources,True
11036,38,Other,False
5568,38,Retail,True
12797,38,TMT,True
19208,38,Transport,True
60599,40,Biotech / Life Science,True
27426,40,Clean Tech / Renewable,True
7005,40,Consumer Goods,True
45053,40,Diversified,True
47018,40,Energy / Oil & Gas,True
40957,40,Financial Services,True
31409,40,Healthcare,True
40519,40,Industrials,True
58654,40,Leisure,False
54462,40,Manufacturing,True
18455,40,Natural Resources,True
20968,40,Other,True
21531,40,Retail,True
10705,40,TMT,True
23460,40,Transport,True
31378,41,Biotech / Life Science,False
57627,41,Clean Tech / Renewable,False
21910,41,Consumer Goods,False
27813,41,Diversified,True
58204,41,Energy / Oil & Gas,False
20946,41,Financial Services,False
25345,41,Healthcare,True
52633,41,Industrials,True
7696,41,Leisure,False
59819,41,Manufacturing,False
33012,41,Natural Resources,False
53029,41,Other,False
32590,41,Retail,True
52735,41,TMT,True
61908,41,Transport,True
18351,42,Biotech / Life Science,False
