,lp_id,type_id
1064,2098,26
1065,2101,26
1066,2103,12
1067,2104,5
1068,2105,5
1069,2106,12
1070,2110,12
1071,2113,12
1072,2118,5
1073,2131,23
1074,2132,12
1075,2135,12
1076,2136,12
1077,2140,12
1078,2145,12
1079,2146,13
1080,2148,12
1081,2149,12
1082,2150,12
1083,2151,12
1084,2152,12
1085,2154,5
1086,2157,12
1087,2161,1
1088,2164,12
1089,2167,26
1090,2170,3
1091,2171,3
1092,2175,1
1093,2176,23
1094,2177,1
1095,2180,12
1096,2187,12
1097,2189,12
1098,2190,12
1099,2192,3
1100,2193,8
1101,2194,3
1102,2200,12
1103,2201,12
1104,2204,1
1105,2206,12
1106,2207,3
1107,2210,12
1108,2211,12
1109,2213,8
1110,2215,12
1111,2220,1
1112,2221,26
1113,2224,12
1114,2228,12
1115,2235,9
1116,2237,3
1117,2238,26
1118,2239,26
1119,2240,8
1120,2242,4
1121,2243,12
1122,2244,5
1123,2245,5
1124,2246,5
1125,2247,5
1126,2248,26
1127,2249,5
1128,2252,5
1129,2253,5
1130,2254,1
1131,2255,9
1132,2259,8
1133,2261,12
1134,2263,12
1135,2264,12
1136,2265,5
1137,2272,5
1138,2274,12
1139,2275,12
1140,2276,25
1141,2279,5
1142,2280,3
1143,2281,26
1144,2282,26
1145,2283,12
1146,2284,5
1147,2287,1
1148,2292,5
1149,2295,5
1150,2296,5
1151,2297,5
1152,2298,5
1153,2299,5
1154,2300,9
1155,2302,18
1156,2308,5
1157,2309,5
1158,2310,17
1159,2311,5
1160,2312,26
1161,2314,5
1162,2316,12
1163,2317,12
1164,2318,12
1165,2319,3
1166,2324,9
1167,2325,12
1168,2326,25
1169,2327,12
1170,2329,12
1171,2331,1
1172,2333,9
1173,2334,25
1174,2338,8
1175,2339,8
1176,2340,8
1177,2342,12
1178,2344,12
1179,2345,26
1180,2346,25
1181,2347,17
1182,2351,17
1183,2352,1
1184,2353,9
1185,2356,17
1186,2358,26
1187,2360,5
1188,2362,8
1189,2364,12
1190,2370,26
1191,2377,12
1192,2394,5
1193,2396,1
1194,2398,25
1195,2399,12
1196,2401,5
1197,2402,12
1198,2403,12
1199,2409,12
1200,2414,26
1201,2416,26
1202,2423,12
1203,2424,12
1204,2430,12
1205,2431,12
1206,2434,12
1207,2439,12
1208,2445,9
1209,2449,26
1210,2453,26
1211,2457,12
1212,2458,12
1213,2464,5
1214,2465,12
1215,2469,12
1216,2472,12
1217,2475,9
1218,2477,12
1219,2479,12
1220,2480,3
1221,2481,3
1222,2485,8
1223,2489,12
1224,2491,26
1225,2495,3
1226,2496,25
1227,2497,3
1228,2498,12
1229,2501,3
1230,2502,12
1231,2503,1
1232,2504,3
1233,2507,12
1234,2510,3
1235,2512,25
1236,2513,25
1237,2515,25
1238,2518,25
1239,2519,9
1240,2522,4
1241,2524,3
1242,2528,5
1243,2532,12
1244,2533,12
1245,2535,9
1246,2536,1
1247,2539,12
1248,2540,12
1249,2544,1
1250,2546,13
1251,2547,1
1252,2548,26
1253,2549,12
1254,2551,26
1255,2552,26
1256,2553,12
1257,2555,8
1258,2558,12
1259,2561,25
1260,2563,5
1261,2568,12
1262,2569,8
1263,2570,27
1264,2571,8
1265,2572,8
1266,2573,12
1267,2574,23
1268,2575,8
1269,2576,12
1270,2577,9
1271,2578,8
1272,2579,8
1273,2582,5
1274,2583,8
1275,2585,12
1276,2586,1
1277,2588,1
1278,2590,17
1279,2596,12
1280,2597,1
1281,2599,3
1282,2600,9
1283,2603,25
1284,2604,9
1285,2607,26
1286,2610,12
1287,2614,12
1288,2615,12
1289,2616,5
1290,2623,12
1291,2625,12
1292,2630,12
1293,2631,12
1294,2632,17
1295,2638,26
1296,2648,12
1297,2651,26
1298,2654,1
1299,2655,9
1300,2656,12
1301,2661,1
1302,2663,5
1303,2668,3
1304,2669,23
1305,2675,23
1306,2676,5
1307,2687,23
1308,2690,3
1309,2691,8
1310,2695,9
1311,2696,8
1312,2704,8
1313,2705,3
1314,2709,25
1315,2712,5
1316,2714,5
1317,2719,8
1318,2735,25
1319,2737,3
1320,2738,17
1321,2750,8
1322,2751,5
1323,2754,3
1324,2755,9
1325,2768,4
1326,2770,3
1327,2778,5
1328,2780,26
1329,2781,5
1330,2786,26
1331,2787,12
1332,2788,3
1333,2790,17
1334,2791,8
1335,2794,26
1336,2796,25
1337,2797,5
1338,2800,26
1339,2801,26
1340,2802,5
1341,2804,5
1342,2806,5
1343,2807,3
1344,2808,5
1345,2809,5
1346,2811,9
1347,2817,3
1348,2818,3
1349,2819,5
1350,2820,9
1351,2823,26
1352,2827,1
1353,2829,13
1354,2831,12
1355,2833,26
1356,2835,5
1357,2838,1
1358,2839,26
1359,2841,26
1360,2842,26
1361,2844,26
1362,2845,5
1363,2847,5
1364,2848,5
1365,2851,13
1366,2852,5
1367,2853,5
1368,2854,26
1369,2855,5
1370,2857,5
1371,2861,25
1372,2862,4
1373,2863,25
1374,2864,12
1375,2865,26
1376,2866,5
1377,2869,5
1378,2870,26
1379,2872,18
1380,2873,5
1381,2874,3
1382,2875,1
1383,2876,3
1384,2877,1
1385,2879,13
1386,2880,3
1387,2884,8
1388,2887,8
1389,2889,5
1390,2890,17
1391,2894,5
1392,2898,17
1393,2901,9
1394,2903,13
1395,2905,5
1396,2906,25
1397,2907,17
1398,2912,17
1399,2915,1
1400,2916,12
1401,2921,1
1402,2925,5
1403,2926,5
1404,2932,3
1405,2934,9
1406,2942,3
1407,2949,26
1408,2951,1
1409,2965,17
1410,2974,12
1411,2977,1
1412,2978,17
1413,2987,9
1414,2994,9
1415,2995,5
1416,3004,1
1417,3005,1
1418,3007,3
1419,3017,27
1420,3018,5
1421,3030,1
1422,3034,3
1423,3038,25
1424,3049,8
1425,3052,25
1426,3065,1
1427,3068,23
1428,3070,1
1429,3073,4
1430,3075,12
1431,3079,23
1432,3083,25
1433,3087,1
1434,3098,26
1435,3102,1
1436,3103,5
1437,3104,1
1438,3105,5
1439,3114,8
1440,3119,3
1441,3121,9
1442,3122,1
1443,3123,25
1444,3124,1
1445,3129,5
1446,3131,12
1447,3142,4
1448,3145,17
1449,3147,25
1450,3155,9
1451,3156,1
1452,3160,13
1453,3163,5
1454,3165,1
1455,3167,5
1456,3169,5
1457,3170,5
1458,3173,3
1459,3176,5
1460,3181,1
1461,3183,25
1462,3188,8
1463,3195,9
1464,3196,4
1465,3197,9
1466,3205,12
1467,3208,12
1468,3211,4
1469,3212,5
1470,3213,5
1471,3215,3
1472,3216,23
1473,3220,4
1474,3221,3
1475,3222,4
1476,3224,4
1477,3231,25
1478,3234,3
1479,3235,23
1480,3238,25
1481,3244,27
1482,3245,8
1483,3246,25
1484,3247,1
1485,3251,9
1486,3254,12
1487,3255,12
1488,3265,9
1489,3273,12
1490,3276,9
1491,3286,5
1492,3290,12
1493,3292,5
1494,3293,12
1495,3294,17
1496,3295,5
1497,3296,3
1498,3297,5
1499,3298,13
1500,3299,23
1501,3300,3
1502,3301,25
1503,3302,25
1504,3305,26
1505,3307,5
1506,3308,12
1507,3311,26
1508,3312,5
1509,3313,26
1510,3316,1
1511,3318,3
1512,3329,25
1513,3335,25
1514,3337,9
1515,3339,25
1516,3344,9
1517,3347,26
1518,3355,26
1519,3357,3
1520,3358,3
1521,3362,3
1522,3365,4
1523,3367,23
1524,3368,5
1525,3371,4
1526,3375,5
1527,3377,25
1528,3378,12
1529,3379,26
1530,3380,12
1531,3381,5
1532,3384,5
1533,3388,9
1534,3390,4
1535,3391,3
1536,3394,3
1537,3395,3
1538,3397,12
1539,3399,5
1540,3400,26
1541,3406,4
1542,3411,5
1543,3412,5
1544,3413,12
1545,3414,26
1546,3416,1
1547,3417,4
1548,3420,4
1549,3422,4
1550,3423,4
1551,3424,1
1552,3428,4
1553,3430,12
1554,3431,4
1555,3433,9
1556,3435,13
1557,3438,1
1558,3439,9
1559,3440,9
1560,3444,4
1561,3445,5
1562,3446,4
1563,3447,1
1564,3451,4
1565,3453,9
1566,3457,4
1567,3458,4
1568,3460,1
1569,3465,3
1570,3468,13
1571,3469,4
1572,3471,4
1573,3475,25
1574,3477,1
1575,3478,4
1576,3479,1
1577,3480,4
1578,3485,13
1579,3486,4
1580,3487,12
1581,3488,5
1582,3490,4
1583,3493,4
1584,3494,4
1585,3497,5
1586,3499,9
1587,3500,12
1588,3501,1
1589,3503,1
1590,3504,4
1591,3505,13
1592,3506,9
1593,3507,5
1594,3508,5
1595,3509,5
1596,3510,5
1597,3513,1
1598,3517,1
1599,3522,9
1600,3525,5
1601,3528,25
1602,3531,1
1603,3533,27
1604,3534,23
1605,3535,25
1606,3537,4
1607,3538,4
1608,3539,4
1609,3541,9
1610,3542,9
1611,3545,1
1612,3559,9
1613,3560,3
1614,3565,1
1615,3568,17
1616,3570,4
1617,3571,9
1618,3576,17
1619,3577,17
1620,3579,23
1621,3584,25
1622,3588,12
1623,3589,12
1624,3590,18
1625,3594,4
1626,3595,18
1627,3600,4
1628,3604,12
1629,3612,9
1630,3613,12
1631,3616,5
1632,3618,4
1633,3619,12
1634,3622,1
1635,3625,25
1636,3628,4
1637,3631,4
1638,3637,3
1639,3638,4
1640,3639,9
1641,3641,9
1642,3647,3
1643,3652,1
1644,3653,1
1645,3654,4
1646,3656,27
1647,3659,1
1648,3662,25
1649,3664,5
1650,3665,17
1651,3667,12
1652,3668,1
1653,3670,13
1654,3671,1
1655,3672,25
1656,3676,3
1657,3677,4
1658,3679,3
1659,3681,13
1660,3682,25
1661,3683,26
1662,3685,9
1663,3687,17
1664,3691,12
1665,3693,4
1666,3701,3
1667,3704,9
1668,3705,8
1669,3709,5
1670,3711,8
1671,3712,25
1672,3714,5
1673,3715,5
1674,3718,25
1675,3719,12
1676,3722,9
1677,3724,9
1678,3727,5
1679,3729,8
1680,3730,9
1681,3733,4
1682,3735,5
1683,3743,4
1684,3745,23
1685,3746,23
1686,3747,23
1687,3748,4
1688,3750,26
1689,3751,25
1690,3754,25
1691,3755,26
1692,3756,8
1693,3759,25
1694,3760,25
1695,3761,3
1696,3762,26
1697,3763,25
1698,3767,25
1699,3775,5
1700,3778,17
1701,3779,4
1702,3780,25
1703,3781,5
1704,3783,25
1705,3786,25
1706,3787,5
1707,3788,25
1708,3789,5
1709,3790,3
1710,3792,5
1711,3793,5
1712,3794,5
1713,3799,5
1714,3801,3
1715,3805,1
1716,3806,12
1717,3808,17
1718,3811,3
1719,3812,5
1720,3814,5
1721,3816,5
1722,3817,9
1723,3818,25
1724,3819,12
1725,3820,5
1726,3822,17
1727,3824,12
1728,3825,8
1729,3826,5
1730,3828,17
1731,3829,17
1732,3831,3
1733,3832,3
1734,3833,1
1735,3837,9
1736,3839,5
1737,3842,5
1738,3843,5
1739,3845,5
1740,3847,12
1741,3851,9
1742,3852,5
1743,3853,12
1744,3854,5
1745,3858,26
1746,3861,12
1747,3863,8
1748,3866,9
1749,3867,5
1750,3868,5
1751,3869,5
1752,3870,3
1753,3871,5
1754,3874,5
1755,3876,18
1756,3877,12
1757,3879,26
1758,3880,5
1759,3881,3
1760,3883,26
1761,3884,5
1762,3885,17
1763,3886,17
1764,3889,9
1765,3890,5
1766,3891,5
1767,3892,9
1768,3893,5
1769,3894,5
1770,3896,3
1771,3897,5
1772,3898,3
1773,3899,3
1774,3900,5
1775,3901,9
1776,3902,27
1777,3904,5
1778,3905,12
1779,3906,25
1780,3907,3
1781,3910,3
1782,3911,9
1783,3912,3
1784,3913,3
1785,3915,3
1786,3916,26
1787,3918,5
1788,3919,1
1789,3923,3
1790,3924,12
1791,3925,3
1792,3929,25
1793,3932,5
1794,3933,5
1795,3934,12
1796,3935,5
1797,3936,3
1798,3937,5
1799,3938,5
1800,3940,9
1801,3944,1
1802,3945,5
1803,3948,3
1804,3949,5
1805,3951,13
1806,3953,12
1807,3954,12
1808,3955,5
1809,3956,8
1810,3958,9
1811,3959,5
1812,3960,5
1813,3961,5
1814,3962,25
1815,3963,25
1816,3965,5
1817,3966,25
1818,3968,25
1819,3969,25
1820,3972,5
1821,3973,3
1822,3974,26
1823,3975,3
1824,3976,5
1825,3977,26
1826,3978,9
1827,3985,5
1828,3988,13
1829,3989,25
1830,3991,3
1831,3992,5
1832,3994,5
1833,3996,25
1834,3998,3
1835,3999,5
1836,4002,25
1837,4005,5
1838,4008,5
1839,4010,25
1840,4011,5
1841,4012,4
1842,4013,1
1843,4018,1
1844,4019,1
1845,4020,25
1846,4024,8
1847,4028,9
1848,4036,5
1849,4037,26
1850,4038,5
1851,4040,5
1852,4042,5
1853,4044,17
1854,4046,4
1855,4048,5
1856,4053,12
1857,4055,12
1858,4056,4
1859,4059,5
1860,4060,17
1861,4061,5
1862,4062,25
1863,4063,5
1864,4064,5
1865,4065,8
1866,4068,5
1867,4072,12
1868,4073,9
1869,4074,3
1870,4075,3
1871,4076,5
1872,4078,12
1873,4082,5
1874,4089,12
1875,4091,26
1876,4095,5
1877,4098,3
1878,4099,1
1879,4101,3
1880,4102,5
1881,4103,12
1882,4106,1
1883,4107,12
1884,4108,23
1885,4112,25
1886,4114,12
1887,4117,26
1888,4121,9
1889,4123,4
1890,4124,5
1891,4126,8
1892,4127,3
1893,4129,5
1894,4130,3
1895,4132,3
1896,4133,5
1897,4136,5
1898,4137,5
1899,4139,26
1900,4140,26
1901,4142,8
1902,4144,8
1903,4146,5
1904,4147,5
1905,4148,5
1906,4150,5
1907,4152,9
1908,4153,5
1909,4156,5
1910,4157,5
1911,4158,5
1912,4161,5
1913,4164,5
1914,4166,5
1915,4167,25
1916,4168,5
1917,4169,3
1918,4170,5
1919,4174,5
1920,4175,5
1921,4177,3
1922,4178,5
1923,4179,5
1924,4180,5
1925,4181,12
1926,4182,3
1927,4183,3
1928,4184,3
1929,4186,3
1930,4192,12
1931,4193,3
1932,4196,12
1933,4197,12
1934,4198,3
1935,4200,5
1936,4202,5
1937,4203,5
1938,4204,3
1939,4205,5
1940,4210,5
1941,4211,5
1942,4213,5
1943,4215,12
