,type
1213,Foundation / Endowment
1223,Public Pension Fund
1228,Public Pension Fund
1230,Public Pension Fund
1242,Foundation / Endowment
1243,Public Pension Fund
1244,Public Pension Fund
1249,Asset Manager
1260,Foundation / Endowment
1261,Public Pension Fund
1273,Foundation / Endowment
1279,Public Pension Fund
1288,Public Pension Fund
1289,Foundation / Endowment
1305,Government Related Investment Organisation
1312,Insurance Company
1315,Foundation / Endowment
1316,Foundation / Endowment
1320,Fund of Funds Manager
1322,Foundation / Endowment
1323,Corporate
1325,Family Office
1326,Corporate
1327,Foundation / Endowment
1328,Private Pension Fund
1329,Foundation / Endowment
1330,Private Pension Fund
1331,Public Pension Fund
1333,Fund of Funds Manager
1334,Insurance Company
1335,Private Pension Fund
1336,Bank / Financial Services
1337,Foundation / Endowment
1339,Private Pension Fund
1340,Foundation / Endowment
1341,Foundation / Endowment
1342,Foundation / Endowment
1343,Corporate
1344,Foundation / Endowment
1345,Foundation / Endowment
1346,Investment Firm
1349,Foundation / Endowment
1351,Private Pension Fund
1352,Asset Manager
1353,Gatekeepers
1354,Public Pension Fund
1355,Private Pension Fund
1356,Foundation / Endowment
1357,Asset Manager
1358,Private Pension Fund
1359,Private Pension Fund
1362,Foundation / Endowment
1363,Foundation / Endowment
1364,Foundation / Endowment
1365,Gatekeepers
1366,Foundation / Endowment
1367,Foundation / Endowment
1369,Foundation / Endowment
1370,Foundation / Endowment
1371,Bank / Financial Services
1372,Family Office
1374,Public Pension Fund
1375,Private Pension Fund
1376,Foundation / Endowment
1377,Foundation / Endowment
1378,Private Pension Fund
1379,Independent Firm
1380,Foundation / Endowment
1381,Corporate
1383,Corporate
1385,Gatekeepers
1386,Corporate
1387,Insurance Company
1389,Foundation / Endowment
1390,Fund of Funds Manager
1391,Foundation / Endowment
1392,Fund of Funds Manager
1393,Investment Firm
1394,Gatekeepers
1395,Foundation / Endowment
1396,Bank / Financial Services
1397,Fund of Funds Manager
1398,Fund of Funds Manager
1399,Asset Manager
1400,Public Pension Fund
1401,Asset Manager
1402,Foundation / Endowment
1403,Foundation / Endowment
1406,Corporate
1409,Fund of Funds Manager
1410,Public Pension Fund
1415,Foundation / Endowment
1417,Asset Manager
1420,Foundation / Endowment
1427,Government Related Investment Organisation
1428,Asset Manager
1429,Family Office
1435,Asset Manager
1437,Asset Manager
1441,Investment Firm
1442,Asset Manager
1443,Bank / Financial Services
1444,Asset Manager
1447,Family Office
1448,Fund of Funds Manager
1449,Bank / Financial Services
1450,Investment Firm
1451,Asset Manager
1452,Gatekeepers
1453,Foundation / Endowment
1454,Asset Manager
1455,Foundation / Endowment
1456,Foundation / Endowment
1457,Foundation / Endowment
1459,Foundation / Endowment
1460,Asset Manager
1461,Bank / Financial Services
1462,Insurance Company
1465,Investment Firm
1468,Family Office
1469,Foundation / Endowment
1470,Foundation / Endowment
1472,Government Related Investment Organisation
1473,Family Office
1475,Family Office
1476,Family Office
1493,Foundation / Endowment
1494,Public Pension Fund
1495,Fund of Funds Manager
1496,Foundation / Endowment
1498,Foundation / Endowment
1500,Government Related Investment Organisation
1501,Corporate
1503,Bank / Financial Services
1505,Foundation / Endowment
1506,Public Pension Fund
1507,Private Pension Fund
1508,Foundation / Endowment
1509,Private Pension Fund
1511,Corporate
1513,Bank / Financial Services
1515,Bank / Financial Services
1517,Private Pension Fund
1518,Private Pension Fund
1521,Corporate
1524,Foundation / Endowment
1529,Private Pension Fund
1531,Foundation / Endowment
1533,Investment Firm
1538,Public Pension Fund
